Process,Time
process_0,1,2
process_2,1.0,6
process_3,1.7755789514364517,4
process_4,1.5754472369454238,6
process_6,1.0,6
process_7,1.0,10
process_1,9.560398018564943,10
process_9,1.3917822616596922,4
process_5,9.0,4
process_11,1.3194118348546091,1
process_14,2.569298772070603,3
process_13,3.0000000000000018,9
process_12,5.985215424020129,8
process_8,11.947275309307205,2
process_15,4.072256149707034,3
process_16,4.057975354565663,3
process_10,11.350459265286664,5
process_17,6.554737046795847,1
process_19,5.063108746195933,4
process_22,3.843597011206743,8
process_18,10.18466011455276,5
process_23,3.2682364503847516,10
process_25,4.055058510422413,3
process_27,5.275332603301937,10
process_28,6.009373335261209,1
process_21,11.653261845625632,1
process_29,8.257109198526337,4
process_31,8.162862131150014,4
process_32,6.266426757793056,9
process_20,17.909496219092865,9
process_34,6.778606107068995,10
process_26,14.105610655723403,5
process_36,7.242865385540966,10
process_37,9.559617378962713,7
process_24,20.203888171626197,6
process_39,9.766198178983373,5
process_43,10.96885890616754,8
process_45,12.667781281694417,5
process_46,13.382474557759757,9
process_33,22.892748019779205,5
process_30,26.57376926785919,4
process_47,11.818024353484205,10
process_48,10.36465753458915,3
process_49,10.85354765984031,5
process_38,21.42560621037819,3
process_51,10.88120883099814,7
process_35,24.838737697502488,5
process_53,11.835931280815892,2
process_41,25.610147673859778,7
process_57,15.110296448828265,1
process_58,17.526336654305666,8
process_42,30.45437080610641,6
process_59,18.812322851678367,7
process_61,18.05601436751016,1
process_40,35.45487041138081,3
process_64,20.415659694779094,9
process_66,19.402652644050214,8
process_44,38.84194927559819,10
process_68,19.45290981340687,7
process_69,18.58036492785839,6
process_54,33.0607462194635,1
process_70,18.62894488838218,9
process_72,19.278113581001463,9
process_50,37.97229080343073,3
process_75,23.870032893773043,9
process_55,39.709183032126205,2
process_77,25.684879071256802,4
process_52,44.41557950630413,10
process_56,44.241213706223746,7
process_81,28.64725853059784,10
process_82,28.798298823144634,7
process_83,30.350459265286673,10
process_85,29.350459265286673,7
process_62,48.0466952180513,10
process_89,28.880885717248262,4
process_60,54.28406248963865,7
process_90,29.614476563553396,2
process_91,29.459084719655934,8
process_63,54.52081459895039,8
process_93,26.783240029787393,5
process_65,54.28075210371877,6
process_94,27.833283313825646,2
process_71,48.814446998870025,5
process_67,54.730472950580776,1
process_96,28.28465992503162,4
process_73,51.31273753447495,10
process_74,51.8899717454934,2
process_98,27.963530304041868,10
process_99,26.56126781808129,1
process_78,53.02098330345157,2
process_76,54.047864289245396,5
process_80,51.61118216482423,5
process_79,53.29620021040111,9
process_87,45.0,3
process_84,50.22887279073409,1
process_86,46.0,3
process_88,45.67933629953309,3
process_92,41.000377760792276,1
process_97,35.56902783009217,4
process_95,39.322947991479936,8
