Process,Time,,,Time,
process_0,22.80156265,3,,,
process_1,17,8,,Media,13.28502562
process_4,4.970586128,10,,Error típico,0.843293929
process_2,15.6087642,2,,Mediana,11.12456732
process_3,19.32119396,7,,Moda,1
process_5,12,4,,Desviación estándar,10.32819915
process_7,4,8,,Varianza de la muestra,106.6716977
process_6,9.241899509,9,,Curtosis,1.609505955
process_8,1,5,,Coeficiente de asimetría,1.206585246
process_9,4,9,,Rango,51.71617546
process_10,12.89167558,9,,Mínimo,1
process_11,14.92859433,7,,Máximo,52.71617546
process_12,13,8,,Suma,1992.753843
process_13,17.85787911,3,,Cuenta,150
process_14,3,3,,,
process_15,14,4,,,
process_16,6,10,,,
process_17,14,7,,,
process_18,11,8,,,
process_20,2.925885031,6,,,
process_19,10.56031479,9,,,
process_21,3,4,,,
process_22,14,2,,,
process_23,1,2,,,
process_25,4.840405948,10,,,
process_26,3.61801287,3,,,
process_24,10,4,,,
process_27,5.671400929,5,,,
process_28,4,1,,,
process_29,1,5,,,
process_30,17,10,,,
process_32,17.33749831,8,,,
process_31,22.92114742,1,,,
process_33,23.26510389,7,,,
process_34,8,1,,,
process_35,11.26647412,2,,,
process_36,19,1,,,
process_38,1,6,,,
process_39,7,10,,,
process_37,17.41425857,3,,,
process_40,14.22035476,9,,,
process_41,16.04685638,10,,,
process_42,1,5,,,
process_44,1,1,,,
process_43,17,9,,,
process_45,7.964565647,9,,,
process_46,15.84468215,10,,,
process_48,1,6,,,
process_47,20,4,,,
process_49,12,3,,,
process_51,13.98434617,9,,,
process_50,18.78183308,10,,,
process_52,24.63801018,10,,,
process_55,6.037619945,3,,,
process_54,12.77716542,1,,,
process_53,18,2,,,
process_56,9.042715959,2,,,
process_57,9,4,,,
process_58,9.595735383,1,,,
process_59,1,7,,,
process_60,15.33655068,6,,,
process_61,3,5,,,
process_62,4,4,,,
process_63,1,8,,,
process_64,12,4,,,
process_65,15,6,,,
process_69,8.392511508,9,,,
process_67,16.34912147,4,,,
process_66,26,9,,,
process_70,6.329899035,8,,,
process_71,6.265905629,6,,,
process_68,22.14327705,4,,,
process_72,1.147292923,5,,,
process_73,3,4,,,
process_76,1,5,,,
process_74,25.99999731,6,,,
process_75,14.71092372,5,,,
process_78,5.890740023,6,,,
process_81,10.22787885,3,,,
process_83,9.102499261,8,,,
process_77,38,9,,,
process_79,44.9070962,7,,,
process_84,39.14748158,6,,,
process_82,47.22880765,7,,,
process_80,52.71617546,6,,,
process_85,28.79491428,9,,,
process_87,4.244483142,10,,,
process_86,9.0498592,9,,,
process_88,9,7,,,
process_90,1,9,,,
process_89,11,7,,,
process_91,9,2,,,
process_92,1,10,,,
process_94,3.93763867,8,,,
process_93,10,7,,,
process_97,4.146932761,9,,,
process_96,8,5,,,
process_95,22.63686697,7,,,
process_98,7,3,,,
process_100,4.666384778,8,,,
process_99,9.393493905,4,,,
process_102,1.708110398,2,,,
process_101,12,10,,,
process_103,9.451667132,9,,,
process_104,6,9,,,
process_105,7,2,,,
process_106,19,6,,,
process_107,18.22137151,4,,,
process_108,28.18253963,5,,,
process_111,11.77029487,8,,,
process_109,35.37082899,8,,,
process_110,28.31927995,7,,,
process_112,13.54390528,3,,,
process_113,4,8,,,
process_117,10.03915073,9,,,
process_114,27,5,,,
process_119,11.60483845,5,,,
process_115,30.96160448,10,,,
process_116,34.23853924,2,,,
process_118,26.31287203,9,,,
process_120,25.82646861,9,,,
process_123,21.26919474,4,,,
process_122,30.37271278,7,,,
process_121,36.51654178,5,,,
process_125,3,3,,,
process_124,10.15059979,10,,,
process_129,2.762625469,1,,,
process_127,11.24913464,4,,,
process_128,13.54248246,7,,,
process_126,18,5,,,
process_131,2.743606911,3,,,
process_130,9,6,,,
process_133,10.48602966,4,,,
process_135,1.269828094,2,,,
process_132,20.23248188,8,,,
process_134,13.27635405,8,,,
process_139,5.951175719,9,,,
process_140,4.632964033,5,,,
process_136,27.11450983,1,,,
process_137,24.26414134,4,,,
process_138,26.51979883,1,,,
process_141,19.27182433,1,,,
process_142,4.906931228,5,,,
process_143,7,5,,,
process_145,17.25691118,10,,,
process_146,14.08526554,9,,,
process_144,31.18398261,10,,,
process_147,9,1,,,
process_149,1,6,,,
process_148,14,2,,,
