Process,Time,,,Time,,
process_1,20.11984373,2,,,,
process_7,15.76111832,1,,Media,86.72447552,
process_8,16.73534311,9,,Error típico,3.019006402,
process_19,51,7,,Mediana,82,
process_20,52,6,,Moda,40,
process_2,80.99437268,8,,Desviación estándar,42.69519799,
process_3,80.93998882,2,,Varianza de la muestra,1822.879932,
process_10,73.64192405,9,,Curtosis,-0.939865107,
process_11,73.19926674,9,,Coeficiente de asimetría,0.303428127,
process_14,74.17994984,3,,Rango,168.2388817,
process_4,96.91123179,7,,Mínimo,15.76111832,
process_16,79.29532447,9,,Máximo,184,
process_5,103.976171,1,,Suma,17344.8951,
process_0,121,3,,Cuenta,200,
process_25,40,3,,T,P,
process_9,120.9360134,4,,80.2758042,25,
process_13,117.7334167,7,,88.5579021,50,
process_12,121.7750768,4,,86.218951,100,
process_15,119.0511046,6,,87.892634,150,
process_6,134.6664743,4,,86.7244755,200,
process_18,129.0446582,1,,,,
process_17,133.9338258,9,,,,
process_23,84,1,,,,
process_27,84,9,,,,
process_28,85,10,,,,
process_21,125,3,,,,
process_22,128,6,,,,
process_26,125,4,,,,
process_38,43,4,,,,
process_29,125,5,,,,
process_35,90,7,,,,
process_40,44,5,,,,
process_41,45,2,,,,
process_31,135,9,,,,
process_30,137,1,,,,
process_43,42,10,,,,
process_32,139,1,,,,
process_44,40,2,,,,
process_24,168,10,,,,
process_34,120,9,,,,
process_45,33,9,,,,
process_33,130,10,,,,
process_47,37,2,,,,
process_42,84,5,,,,
process_37,123,6,,,,
process_51,34,4,,,,
process_52,37,1,,,,
process_55,35,9,,,,
process_56,33,7,,,,
process_58,37,2,,,,
process_39,128,2,,,,
process_59,40,5,,,,
process_60,43,5,,,,
process_46,88,8,,,,
process_49,81,2,,,,
process_50,87,9,,,,
process_36,169,9,,,,
process_67,44,8,,,,
process_57,81,3,,,,
process_68,45,5,,,,
process_48,129,6,,,,
process_63,81,7,,,,
process_73,37,2,,,,
process_74,40,3,,,,
process_53,129,9,,,,
process_54,135,4,,,,
process_79,43,9,,,,
process_80,46,7,,,,
process_75,90,5,,,,
process_76,96,5,,,,
process_66,138,2,,,,
process_77,94,5,,,,
process_70,129,6,,,,
process_62,172,3,,,,
process_71,128,2,,,,
process_61,184,1,,,,
process_81,87,3,,,,
process_87,40,1,,,,
process_72,142,9,,,,
process_89,39,3,,,,
process_64,182,4,,,,
process_90,39,4,,,,
process_65,178,7,,,,
process_69,171,6,,,,
process_78,133,10,,,,
process_83,72,9,,,,
process_84,76,6,,,,
process_85,64,8,,,,
process_86,65,1,,,,
process_93,26,6,,,,
process_94,23,6,,,,
process_88,71,1,,,,
process_82,107,10,,,,
process_102,35,5,,,,
process_92,69,9,,,,
process_104,38,6,,,,
process_107,41,10,,,,
process_109,40,9,,,,
process_96,69,7,,,,
process_97,72,2,,,,
process_91,107,7,,,,
process_98,73,5,,,,
process_101,72,4,,,,
process_112,39,3,,,,
process_114,45,3,,,,
process_115,43,5,,,,
process_105,90,10,,,,
process_117,45,4,,,,
process_108,94,1,,,,
process_110,93,1,,,,
process_120,48,3,,,,
process_121,45,5,,,,
process_99,116,9,,,,
process_100,122,3,,,,
process_103,134,4,,,,
process_116,86,10,,,,
process_126,41,10,,,,
process_106,132,2,,,,
process_128,47,3,,,,
process_95,163,5,,,,
process_119,91,3,,,,
process_130,39,10,,,,
process_131,42,1,,,,
process_111,126,6,,,,
process_113,131,2,,,,
process_125,96,3,,,,
process_137,46,6,,,,
process_122,138,8,,,,
process_123,128,9,,,,
process_124,132,1,,,,
process_135,81,10,,,,
process_118,177,6,,,,
process_142,38,3,,,,
process_138,89,5,,,,
process_139,98,9,,,,
process_132,121,9,,,,
process_133,122,6,,,,
process_147,41,9,,,,
process_134,126,4,,,,
process_136,120,2,,,,
process_127,168,6,,,,
process_148,37,5,,,,
process_129,157,7,,,,
process_150,31,7,,,,
process_151,33,8,,,,
process_152,34,4,,,,
process_155,38,9,,,,
process_149,73,8,,,,
process_145,114,6,,,,
process_144,116,8,,,,
process_160,41,8,,,,
process_146,121,3,,,,
process_154,73,5,,,,
process_140,165,8,,,,
process_141,156,2,,,,
process_163,37,2,,,,
process_165,41,3,,,,
process_157,79,5,,,,
process_143,166,4,,,,
process_153,114,9,,,,
process_158,134,3,,,,
process_167,83,9,,,,
process_161,125,8,,,,
process_172,78,1,,,,
process_162,119,10,,,,
process_164,122,1,,,,
process_156,161,1,,,,
process_159,162,5,,,,
process_166,117,7,,,,
process_168,113,8,,,,
process_176,24,9,,,,
process_169,112,9,,,,
process_170,105,10,,,,
process_174,70,7,,,,
process_171,102,7,,,,
process_180,24,7,,,,
process_182,26,10,,,,
process_185,33,8,,,,
process_188,39,8,,,,
process_189,39,3,,,,
process_179,58,4,,,,
process_173,144,8,,,,
process_175,91,10,,,,
process_181,59,7,,,,
process_186,72,1,,,,
process_194,32,9,,,,
process_187,76,2,,,,
process_177,95,10,,,,
process_191,75,9,,,,
process_183,101,5,,,,
process_192,77,6,,,,
process_193,71,9,,,,
process_184,106,3,,,,
process_178,120,10,,,,
process_195,58,9,,,,
process_198,55,4,,,,
process_197,57,8,,,,
process_196,66,7,,,,
process_190,108,5,,,,
process_199,70,1,,,,
