Process,Time,,,Time,
process_1,10,2,,,
process_7,5.641274584,1,,Media,47.33041313
process_11,9.390969189,9,,Error típico,1.612012551
process_12,10.06544569,5,,Mediana,44.94007813
process_8,18.59274838,7,,Moda,17.11984373
process_2,29.99437268,8,,Desviación estándar,22.79730013
process_4,35.91123179,7,,Varianza de la muestra,519.7168931
process_3,39.93998882,2,,Curtosis,-0.466411942
process_5,41.85632727,1,,Coeficiente de asimetría,0.383473232
process_0,46.88015627,3,,Rango,97.47856915
process_13,29.8260394,9,,Mínimo,5.641274584
process_15,31.59245525,8,,Máximo,103.1198437
process_10,45.43262929,4,,Suma,9466.082626
process_9,47.23751188,8,,Cuenta,200
process_17,37,9,,,
process_22,33.88015627,1,,35.3345425,25
process_26,17.88015627,9,,37.9872713,50
process_14,51.46454068,10,,44.3024372,100
process_16,49.23092899,7,,47.3914873,150
process_6,66.6664743,4,,47.3304131,200
process_18,49,3,,,
process_24,33.11984373,10,,,
process_19,55.11984373,6,,,
process_33,16,4,,,
process_21,61,3,,,
process_27,35,9,,,
process_35,15,5,,,
process_28,33.88015627,8,,,
process_36,15.88015627,8,,,
process_23,60.88015627,7,,,
process_20,77,10,,,
process_38,15.88015627,10,,,
process_39,16,2,,,
process_43,17.11984373,5,,,
process_25,69.88015627,9,,,
process_29,49,9,,,
process_30,52,6,,,
process_31,54.88015627,9,,,
process_37,38,5,,,
process_50,17.11984373,5,,,
process_40,40,5,,,
process_34,61.88015627,2,,,
process_53,18.11984373,9,,,
process_44,42,9,,,
process_32,78.88015627,8,,,
process_42,57,5,,,
process_51,37,5,,,
process_41,59.11984373,8,,,
process_45,52,1,,,
process_52,35,10,,,
process_48,56,1,,,
process_47,57.11984373,9,,,
process_46,58,8,,,
process_49,54.88015627,6,,,
process_55,38.88015627,7,,,
process_64,18,2,,,
process_57,35,10,,,
process_60,37,3,,,
process_70,18.11984373,9,,,
process_61,38.11984373,7,,,
process_65,39,9,,,
process_63,41,9,,,
process_58,59,5,,,
process_54,78.11984373,4,,,
process_77,20.11984373,1,,,
process_68,40,2,,,
process_67,40.88015627,5,,,
process_62,60.11984373,2,,,
process_80,21.88015627,8,,,
process_74,52,5,,,
process_75,52.88015627,8,,,
process_86,23,7,,,
process_76,49,1,,,
process_78,45.88015627,4,,,
process_56,98,4,,,
process_69,66.11984373,10,,,
process_59,89.11984373,6,,,
process_82,44,9,,,
process_71,68,2,,,
process_84,41,1,,,
process_83,42.88015627,4,,,
process_89,19,5,,,
process_92,20,8,,,
process_97,23,4,,,
process_66,103,6,,,
process_79,75,10,,,
process_72,97,2,,,
process_81,75,2,,,
process_73,98,2,,,
process_90,44.11984373,5,,,
process_91,45.11984373,2,,,
process_95,42,10,,,
process_94,43.88015627,3,,,
process_93,44.88015627,7,,,
process_105,21.88015627,4,,,
process_85,81,6,,,
process_99,44.11984373,1,,,
process_103,51,3,,,
process_111,27.88015627,6,,,
process_113,28.88015627,10,,,
process_115,28,10,,,
process_106,52,1,,,
process_96,76.88015627,2,,,
process_108,55,1,,,
process_88,102.1198437,4,,,
process_87,103.1198437,6,,,
process_98,81,5,,,
process_100,78,8,,,
process_101,79.11984373,2,,,
process_119,22.11984373,4,,,
process_114,58,3,,,
process_102,88.88015627,2,,,
process_117,53.88015627,8,,,
process_109,75,2,,,
process_107,75.88015627,5,,,
process_125,21.11984373,10,,,
process_110,73,9,,,
process_127,17,9,,,
process_112,71,1,,,
process_121,40.11984373,5,,,
process_128,15,5,,,
process_116,71.11984373,3,,,
process_129,17,2,,,
process_132,17.11984373,4,,,
process_124,38,3,,,
process_104,100,9,,,
process_126,42.11984373,7,,,
process_120,68.11984373,3,,,
process_118,72,8,,,
process_122,68.11984373,3,,,
process_142,17,2,,,
process_131,44.88015627,3,,,
process_136,43.88015627,10,,,
process_123,72,10,,,
process_146,17.11984373,1,,,
process_137,47.88015627,3,,,
process_138,43,4,,,
process_130,63.11984373,4,,,
process_133,59.88015627,9,,,
process_134,59.88015627,4,,,
process_135,67,9,,,
process_140,55.88015627,8,,,
process_152,19.11984373,5,,,
process_139,63,5,,,
process_147,41.88015627,8,,,
process_143,54,1,,,
process_141,61.88015627,10,,,
process_144,61.88015627,2,,,
process_145,55,5,,,
process_157,16.11984373,5,,,
process_150,40,1,,,
process_159,17.88015627,10,,,
process_153,35,9,,,
process_162,17.11984373,9,,,
process_164,13,6,,,
process_149,52.11984373,7,,,
process_148,54,10,,,
process_165,14,9,,,
process_156,36.88015627,8,,,
process_154,50.11984373,1,,,
process_151,62.88015627,10,,,
process_161,38,8,,,
process_158,51,3,,,
process_167,34,9,,,
process_179,23.11984373,3,,,
process_168,40.88015627,6,,,
process_160,63,5,,,
process_169,40.88015627,9,,,
process_155,80,6,,,
process_171,40,9,,,
process_170,42.88015627,3,,,
process_173,40.11984373,8,,,
process_183,23,2,,,
process_184,20,10,,,
process_176,45,5,,,
process_186,18.11984373,5,,,
process_181,43.11984373,4,,,
process_163,86,2,,,
process_172,69.11984373,7,,,
process_192,20.11984373,4,,,
process_195,25,7,,,
process_196,24.88015627,1,,,
process_166,93,5,,,
process_180,73.88015627,5,,,
process_187,48.11984373,2,,,
process_189,47.11984373,4,,,
process_197,20.11984373,9,,,
process_191,45.88015627,5,,,
process_199,20.88015627,1,,,
process_175,87,1,,,
process_177,82.11984373,3,,,
process_174,92.11984373,5,,,
process_182,70.11984373,4,,,
process_188,59,8,,,
process_178,88.11984373,3,,,
process_185,66,8,,,
process_193,48,1,,,
process_190,59,10,,,
process_198,33.88015627,2,,,
process_194,57.11984373,7,,,
