Process,Time
process_1,1.0,5
process_2,4.0,7
process_0,20.821075225401128,3
process_6,4.153954230435598,7
process_4,9.672268759521788,5
process_3,12.686119757288095,1
process_5,19.0,1
process_7,12.0,4
process_8,1.0,5
process_9,4.000000000000007,9
process_10,11.999999999999993,10
process_11,12.0,7
process_14,1.0,8
process_13,10.0,9
process_16,5.5540235090354315,1
process_12,18.763944966467335,2
process_17,5.675536002485643,8
process_15,16.155326580035776,3
process_18,7.0,1
process_19,1.0,6
process_21,3.0,4
process_23,1.0,2
process_22,9.0,9
process_20,15.0,8
process_25,2.999999999999986,2
process_26,4.110016701375372,9
process_27,1.0,8
process_24,11.020444885874966,2
process_28,6.880408227608285,7
process_29,9.934188551346125,2
process_30,3.0,7
process_33,8.737165351032218,1
process_34,3.3818480995517746,5
process_31,18.09721980349019,3
process_32,13.262834648967782,9
process_35,18.70954507317444,3
process_38,4.059204618908865,7
process_36,19.0,1
process_39,12.869638438147945,10
process_41,9.307682309504827,10
process_42,1.0,5
process_37,20.451819864169664,10
process_40,13.583613961451874,9
process_43,1.0,1
process_44,9.0,3
process_45,14.0,10
process_47,1.0,6
process_48,3.0,3
process_46,20.0,4
process_50,1.0,10
process_49,20.915619182816556,10
process_51,1.0,2
process_52,1.0,10
process_53,1.0,2
process_55,3.0,4
process_54,12.0,2
process_56,9.0,7
process_58,4.0,1
process_57,6.0,4
process_59,1.0,7
process_60,15.0,6
process_61,3.0,5
process_63,1.0,5
process_62,4.0,4
process_64,12.0,4
process_66,1.0,6
process_67,1.0,4
process_65,20.0,6
process_69,1.0,1
process_68,14.0,5
process_70,3.0,8
process_71,2.641784090393628,6
process_72,11.0,3
process_74,14.0,3
process_76,2.074176015459045,5
process_73,20.0,9
process_75,9.196354368615744,7
process_77,7.0,1
process_80,5.1603913238710675,3
process_82,3.0,1
process_81,10.756316094052693,5
process_83,8.843605148271024,4
process_85,1.7023389021567255,1
process_78,22.49053453816464,7
process_79,23.395074168054634,6
process_84,12.426905494935284,6
process_87,3.0,3
process_86,12.0,3
process_89,3.0,9
process_90,1.0,5
process_88,15.04348718041416,4
process_92,7.0,4
process_91,20.0,3
process_93,11.999999999999943,10
process_98,4.704827712812289,4
process_94,13.0,2
process_95,14.373617246250433,7
process_99,9.402608222333356,5
process_96,20.979914933201485,4
process_101,1.0,10
process_97,21.465382451145615,1
process_100,16.62270669403506,8
process_103,1.0,1
process_102,6.376654447206647,9
process_106,6.850757396469817,7
process_105,8.450846509019016,10
process_104,14.0,5
process_108,1.0,9
process_107,21.671283529619245,8
process_110,4.0,4
process_111,1.0,3
process_109,16.0,6
process_116,3.119269621775061,8
process_117,3.0996489284749487,3
process_113,12.190350343470982,8
process_119,4.175447197963763,5
process_112,18.0,7
process_118,9.652621374060686,9
process_114,18.876842612192945,5
process_115,19.357644852442377,10
process_120,16.786262276096977,9
process_121,14.631298862183371,9
process_127,9.626278939748431,9
process_125,19.910708014145143,4
process_131,8.038577359006467,10
process_130,8.391853186383742,2
process_122,30.432168292089614,9
process_123,29.60942271687304,5
process_129,12.921108732304447,2
process_126,25.980872132737773,10
process_128,21.88018281620805,6
process_124,36.4865367863805,1
process_135,1.0,2
process_134,4.10600420504818,8
process_138,3.227726596639968,1
process_132,16.05302888759263,4
process_139,4.77855760455725,5
process_140,5.26152477683479,5
process_133,17.96279407371162,5
process_137,12.09989784914626,4
process_136,15.922340866550144,1
process_141,14.183696153970686,1
process_144,5.221854264554281,10
process_143,6.5322106115465886,4
process_146,10.798906014571003,2
process_142,18.898508374364496,4
process_147,9.0,1
process_145,20.968161097360166,6
process_149,2.6635987775194963,9
process_148,6.0,2
process_152,10.978069249074679,1
process_154,5.034142303160365,7
process_151,13.29270304452757,5
process_153,15.544641044630794,5
process_150,20.0,1
process_155,14.407126278553278,9
process_158,1.0,2
process_157,6.0,7
process_159,10.0,7
process_161,7.141799886539047,6
process_160,11.080508453190305,6
process_156,19.681084252018877,6
process_162,15.0,2
process_166,3.265842072947521,1
process_167,3.0,2
process_164,11.633059398979071,10
process_165,9.389282385195088,7
process_163,17.0,9
process_168,1.0,5
process_169,9.15344539220655,2
process_170,7.110458080210037,9
process_173,1.0,8
process_171,12.0,6
process_172,18.420080768001753,4
process_174,7.610653857766238,9
process_176,9.0,1
process_175,17.0,2
process_177,10.0,9
process_178,4.70173674048624,8
process_180,5.542248264433056,3
process_181,9.0,7
process_179,20.0,8
process_185,3.0,1
process_184,6.0,8
process_182,12.0,5
process_183,11.458864930658365,8
process_186,4.0,7
process_187,4.0,8
process_188,3.0,2
process_189,4.0,3
process_190,1.0,8
process_191,1.0,1
process_192,4.0,9
process_193,1.0,1
process_195,4.0,1
process_194,9.0,5
process_196,4.0,8
process_197,12.0,10
process_198,15.0,7
process_199,14.0,8
