Process,Time,,,Time,
process_0,9,3,,,
process_1,4,2,,Media,3.756483496
process_2,1,4,,Error típico,0.66019027
process_4,1,8,,Mediana,2.673107058
process_3,9.183310577,7,,Moda,1
process_5,1,6,,Desviación estándar,3.300951348
process_6,1.8871249,9,,Varianza de la muestra,10.8962798
process_7,1,7,,Curtosis,-0.910510952
process_9,2.673107058,4,,Coeficiente de asimetría,0.878739038
process_8,5,8,,Rango,8.449617799
process_10,1,9,,Mínimo,1
process_11,3,2,,Máximo,9.449617799
process_12,1,9,,Suma,93.91208741
process_14,1,8,,Cuenta,25
process_13,9,9,,,
process_15,3,3,,,
process_16,9.449617799,2,,,
process_17,5,3,,,
process_18,1,8,,,
process_19,1,3,,,
process_20,9,4,,,
process_21,3,9,,,
process_22,1,8,,,
process_23,9,7,,,
process_24,1.718927077,7,,,
